SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	subject
1	1	2	34	21684	5322	0.5120134975295513	0	1.0	1390.3581659978954	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	35	31969	4061	0.512059805332683	0	1.0	1002.1127629952388	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	36	25261	7985	0.5121060920646414	0	1.0	973.4800430014728	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	37	11881	6041	0.5121523889247328	0	1.0	1172.2963119973429	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	38	13300	6142	0.5121986794983968	0	0.0	1479.598095997062	0.0			0	0.0	0.0	1.0	2.0	0	subj01
1	1	2	39	68509	6843	0.512244975543581	0	1.0	841.8875909992493	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	40	18657	7442	0.5122912703081965	0	1.0	691.8781610002043	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	41	38925	1108	0.5123838591389358	0	1.0	802.1196629997575	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	42	15722	9936	0.5124301444739103	0	1.0	854.6490490043651	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	43	15762	2757	0.512476443662308	0	1.0	839.3535009963671	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	44	49171	9658	0.5125227399403229	0	0.0	1445.3478700015692	0.0			0	0.0	0.0	1.0	2.0	0	subj01
1	1	2	45	33484	5169	0.5125690352870151	1	1.0	903.9478900012908	0.0	41.0		1	1.0	0.0	1.0	2.0	0	subj01
1	1	2	46	26186	3376	0.5126153227174653	0	1.0	809.6770929987542	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	47	70469	7287	0.5126616196939721	0	1.0	804.3003700004192	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	48	4696	5363	0.5127079098019748	0	1.0	1204.2965739965439	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	49	205	5834	0.5127542124828323	0	1.0	1262.3249309981475	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	50	3391	6448	0.5128005087608472	0	1.0	952.0277769988753	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	51	69028	4186	0.512846800731495	0	1.0	1078.0740730042453	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	52	19764	9715	0.5128930868813768	0	1.0	1050.571822001075	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	53	44361	1430	0.5129855786217375	0	1.0	803.0891800008249	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	54	47126	9621	0.5130318742012605	0	1.0	1003.2574700016994	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	55	33467	7112	0.5130781738553196	0	1.0	1069.2956049970235	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	56	40934	9845	0.5131244607036933	0	1.0	1235.5939370027045	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	57	67445	7473	0.5131707633845508	0	1.0	1766.994331002934	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	58	6432	60	0.5132170509314165	0	1.0	1002.0540459954644	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	59	15762	2757	0.5132633510511369	1	1.0	934.8788150018664	0.0	15.0		1	1.0	0.0	1.0	2.0	0	subj01
1	1	2	60	2020	2704	0.5133096372010186	0	1.0	1278.2864790060555	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	61	2294	8634	0.5133559359237551	1	1.0	1174.8349810004584	0.0	104.0		1	1.0	0.0	1.0	2.0	0	subj01
1	1	2	62	25407	4900	0.5134022253332658	0	1.0	2002.2295420058072	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	1	4777	7336	0.5155978814000263	0	1.0	938.2320399963646	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	2	70336	970	0.5156441788421943	0	0.0	1219.3957190029323	0.0			0	0.0	0.0	1.0	2.0	0	subj01
1	1	3	3	27359	4229	0.515690462430939	0	1.0	767.7267969993408	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	4	27814	3770	0.5157367681385949	0	1.0	1022.3584819977985	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	5	58521	3284	0.5157830490497872	0	1.0	1304.0148639993276	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	6	39391	6316	0.5158293596468865	0	1.0	1273.515615001088	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	7	67100	1266	0.5158756350865586	0	1.0	946.2168500031112	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	8	36577	479	0.5159219417255371	0	1.0	977.2817539997048	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	9	70137	6277	0.5159682339290156	0	1.0	829.6402440028032	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	10	68100	9754	0.5160145384725183	0	1.0	1169.5933669980147	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	11	39187	7300	0.5161071215989068	0	1.0	719.3125060002785	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	12	12707	1104	0.516153403208591	0	1.0	808.807301997149	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	13	156	7313	0.5161997054237872	0	1.0	1055.1270920041131	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	14	9377	3250	0.5162459990242496	0	1.0	1691.2967460011714	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	15	6363	6726	0.5162923019379377	0	1.0	1368.816121997952	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	16	46117	8054	0.5163385869236662	0	1.0	662.3551049997332	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	17	18068	7613	0.5163848886732012	0	1.0	864.7995479987003	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	18	51595	6236	0.5164311699336394	0	1.0	1064.2813890008256	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	19	60986	2259	0.5164774691220372	0	1.0	902.7313530023091	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	20	62950	3968	0.5165237606270238	0	1.0	1065.9325390006416	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	21	70125	2980	0.516570049803704	0	1.0	1242.1637930019642	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	22	51993	9718	0.5166163536487147	0	1.0	808.1712520070141	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	23	32189	1550	0.516662647598423	0	1.0	887.6460730025427	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	24	70125	2980	0.5167088395683094	1	1.0	952.2930150051253	0.0	2.0		1	1.0	0.0	1.0	2.0	0	subj01
1	1	3	25	51228	6274	0.5168014302616938	0	1.0	1815.2008359975296	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	26	16149	6666	0.5168477243278174	0	1.0	1089.603533000627	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	27	26954	3580	0.516894013620913	0	1.0	1260.814497996762	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	28	57047	791	0.5169403055915609	0	1.0	1065.0578260028851	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	29	15556	7771	0.5169866005890071	1	1.0	779.6508170067683	0.0	99.0		1	1.0	0.0	1.0	2.0	0	subj01
1	1	3	30	25261	7985	0.5170329031534492	1	1.0	828.0438110014073	0.0	55.0		1	1.0	0.0	1.0	2.0	0	subj01
1	1	3	31	54124	5651	0.517079186043702	0	0.0	2065.800507996755	0.0			0	0.0	0.0	1.0	2.0	0	subj01
1	1	3	32	62342	4786	0.5171254872111603	0	1.0	1317.2357119983644	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	33	59480	5910	0.5171717838384211	0	1.0	855.053808998491	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	34	53541	6588	0.5172180703375489	0	1.0	1360.6955020004534	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	35	54927	5925	0.5172643673140555	0	1.0	1250.9145470030487	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	36	38891	5699	0.517356960917823	0	1.0	1469.401486996503	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	37	56555	3719	0.5174032564973458	0	1.0	990.6050999998115	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	38	57088	5440	0.5174495395040138	0	1.0	1418.4013859994593	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	39	32702	9470	0.5174958341522142	0	1.0	1193.5459009982878	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	40	9256	1330	0.5175421332241967	0	1.0	884.7935289959422	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	41	17897	8935	0.5175884250784292	0	1.0	903.4003769993432	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	42	7660	80	0.517634725314565	0	1.0	876.9975210016127	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	43	67143	2159	0.5176810193806886	0	1.0	922.5306779990204	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	44	35804	1866	0.5177273161243647	0	1.0	1103.3292280044407	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	45	34012	5965	0.5178199067013338	0	1.0	2032.4699230041003	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	46	33443	7512	0.517866195528768	0	1.0	783.9345760003198	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	47	37021	4025	0.5179124898277223	0	1.0	745.1064840061008	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	48	37021	4025	0.517958682961762	1	1.0	705.3980060009053	0.0	0.0		1	1.0	0.0	1.0	2.0	0	subj01
1	1	3	49	30374	403	0.5180049722548574	0	1.0	1579.093202999502	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	50	53424	1665	0.5180512714432552	0	0.0	1107.2980259996257	0.0			0	0.0	0.0	1.0	2.0	0	subj01
1	1	3	51	37016	9667	0.5180975622497498	0	1.0	830.3918500023427	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	3	52	25960	340	0.5181438624858856	0	1.0	920.7927410025148	0.0			0	1.0	1.0	0.0	1.0	0	subj01
